
2023-07-17_00-05-30: cars 11, truck 1, bus 0, side: right
2023-07-17_00-10-32: cars 0, truck 0, bus 0, side: left
2023-07-17_00-10-32: cars 12, truck 1, bus 0, side: right
2023-07-17_00-15-35: cars 1, truck 0, bus 0, side: left
2023-07-17_00-15-35: cars 10, truck 1, bus 0, side: right
2023-07-17_00-20-38: cars 0, truck 0, bus 0, side: left
2023-07-17_00-20-38: cars 10, truck 1, bus 1, side: right
2023-07-17_00-25-40: cars 1, truck 0, bus 0, side: left
2023-07-17_00-25-40: cars 9, truck 1, bus 1, side: right
2023-07-17_00-30-42: cars 0, truck 0, bus 0, side: left
2023-07-17_00-30-42: cars 9, truck 2, bus 1, side: right
2023-07-17_00-35-45: cars 1, truck 0, bus 0, side: left
2023-07-17_00-35-45: cars 9, truck 2, bus 0, side: right
2023-07-17_00-40-47: cars 2, truck 0, bus 0, side: left
2023-07-17_00-40-47: cars 9, truck 1, bus 1, side: right
2023-07-17_00-45-49: cars 2, truck 0, bus 0, side: left
2023-07-17_00-45-49: cars 10, truck 2, bus 1, side: right
2023-07-17_00-50-51: cars 2, truck 0, bus 0, side: left
2023-07-17_00-50-51: cars 9, truck 1, bus 0, side: right
2023-07-17_00-55-54: cars 2, truck 0, bus 0, side: left
2023-07-17_00-55-54: cars 10, truck 1, bus 1, side: right
2023-07-17_01-00-55: cars 1, truck 1, bus 0, side: left
2023-07-17_01-00-55: cars 9, truck 1, bus 1, side: right
2023-07-17_01-05-58: cars 1, truck 0, bus 0, side: left
2023-07-17_01-05-58: cars 9, truck 1, bus 1, side: right
2023-07-17_01-11-00: cars 1, truck 0, bus 0, side: left
2023-07-17_01-11-00: cars 8, truck 1, bus 1, side: right
2023-07-17_01-16-02: cars 0, truck 0, bus 0, side: left
2023-07-17_01-16-02: cars 7, truck 3, bus 2, side: right
2023-07-17_01-21-05: cars 0, truck 0, bus 0, side: left
2023-07-17_01-21-05: cars 7, truck 3, bus 0, side: right
2023-07-17_01-26-07: cars 0, truck 0, bus 0, side: left
2023-07-17_01-26-07: cars 9, truck 3, bus 0, side: right
2023-07-17_01-31-09: cars 0, truck 0, bus 0, side: left
2023-07-17_01-31-09: cars 9, truck 2, bus 3, side: right
2023-07-17_01-36-12: cars 0, truck 0, bus 0, side: left
2023-07-17_01-36-12: cars 9, truck 2, bus 3, side: right
2023-07-17_01-41-14: cars 0, truck 0, bus 0, side: left
2023-07-17_01-41-14: cars 7, truck 2, bus 2, side: right
2023-07-17_01-46-16: cars 1, truck 0, bus 0, side: left
2023-07-17_01-46-16: cars 9, truck 3, bus 0, side: right
2023-07-17_01-51-19: cars 0, truck 0, bus 0, side: left
2023-07-17_01-51-19: cars 6, truck 1, bus 3, side: right
2023-07-17_01-56-21: cars 1, truck 0, bus 0, side: left
2023-07-17_01-56-21: cars 7, truck 3, bus 1, side: right
2023-07-17_02-01-23: cars 0, truck 0, bus 0, side: left
2023-07-17_02-01-23: cars 8, truck 4, bus 1, side: right
2023-07-17_02-06-25: cars 1, truck 0, bus 0, side: left
2023-07-17_02-06-25: cars 7, truck 3, bus 1, side: right
