(930, 'car', 'right')
(931, 'car', 'right')
(932, 'car', 'right')
(933, 'car', 'right')
(934, 'car', 'right')
(935, 'car', 'right')
(936, 'car', 'right')
(937, 'car', 'right')
(938, 'car', 'right')
(939, 'car', 'right')
(940, 'car', 'right')
(941, 'truck', 'right')
(942, 'truck', 'right')
(943, 'car', 'right')
(944, 'truck', 'right')
(945, 'truck', 'right')
(946, 'car', 'right')
(947, 'car', 'right')
(948, 'car', 'right')
(949, 'car', 'right')
(950, 'car', 'right')
(951, 'car', 'right')
(952, 'car', 'right')
(953, 'car', 'right')
(954, 'car', 'right')
(955, 'car', 'right')
(956, 'car', 'right')
(957, 'car', 'right')
(958, 'truck', 'right')
(959, 'car', 'right')
(960, 'truck', 'right')
(961, 'truck', 'right')
(962, 'car', 'right')
(963, 'car', 'right')
(964, 'car', 'right')
(965, 'car', 'right')
(966, 'car', 'right')
(967, 'car', 'right')
(968, 'car', 'right')
(969, 'car', 'right')
(970, 'car', 'right')
(971, 'car', 'right')
(972, 'car', 'right')
(973, 'car', 'right')
(974, 'car', 'right')
(975, 'car', 'right')
(976, 'truck', 'right')
(977, 'truck', 'right')
(978, 'car', 'right')
(979, 'car', 'right')
(980, 'truck', 'right')
(981, 'car', 'right')
(982, 'car', 'right')
(983, 'car', 'right')
(984, 'car', 'right')
(985, 'car', 'right')
(986, 'car', 'right')
(987, 'car', 'right')
(988, 'car', 'right')
(989, 'car', 'right')
(990, 'car', 'right')
(991, 'car', 'right')
(992, 'car', 'right')
(993, 'truck', 'right')
(994, 'car', 'right')
(995, 'truck', 'right')
(996, 'car', 'right')
(997, 'car', 'right')
(998, 'car', 'right')
(999, 'truck', 'right')
(1000, 'car', 'right')
(1001, 'car', 'right')
(1002, 'car', 'right')
(1003, 'car', 'right')
(1004, 'car', 'right')
(1005, 'car', 'right')
(1006, 'car', 'right')
(1007, 'car', 'right')
(1008, 'car', 'right')
(1009, 'truck', 'right')
(1010, 'truck', 'right')
(1011, 'truck', 'right')
(1012, 'car', 'right')
(1013, 'car', 'right')
(1014, 'car', 'right')
(1015, 'car', 'right')
(1016, 'car', 'right')
(1017, 'car', 'right')
(1018, 'car', 'right')
(1019, 'car', 'right')
(1020, 'car', 'right')
(1021, 'car', 'right')
(1022, 'car', 'right')
(1023, 'car', 'right')
(1024, 'car', 'right')
(1025, 'truck', 'right')
(1026, 'truck', 'right')
(1027, 'truck', 'right')
(1028, 'car', 'right')
(1029, 'car', 'right')
(1030, 'car', 'right')
(1031, 'car', 'right')
(1032, 'truck', 'left')
(1033, 'car', 'right')
(1034, 'car', 'right')
(1035, 'car', 'right')
(1036, 'car', 'right')
(1037, 'car', 'right')
(1038, 'car', 'right')
(1039, 'car', 'right')
(1040, 'truck', 'right')
(1041, 'car', 'right')
(1042, 'car', 'right')
(1043, 'car', 'right')
(1044, 'truck', 'right')
(1045, 'car', 'right')
(1046, 'car', 'right')
(1047, 'car', 'right')
(1048, 'truck', 'right')
(1049, 'car', 'left')
(1050, 'car', 'right')
(1051, 'car', 'right')
(1052, 'car', 'right')
(1053, 'car', 'right')
(1054, 'car', 'right')
(1055, 'car', 'right')
(1056, 'car', 'right')
(1057, 'car', 'right')
(1058, 'car', 'right')
(1059, 'truck', 'right')
(1060, 'car', 'right')
(1061, 'car', 'right')
(1062, 'truck', 'right')
(1063, 'car', 'right')
(1064, 'car', 'right')
(1065, 'bus', 'right')
(1066, 'car', 'right')
(1067, 'truck', 'right')
(1068, 'car', 'left')
(1069, 'car', 'right')
(1070, 'car', 'right')
(1071, 'car', 'right')
(1072, 'car', 'right')
(1073, 'car', 'right')
(1074, 'car', 'right')
(1075, 'car', 'right')
(1076, 'car', 'right')
(1077, 'car', 'right')
(1078, 'car', 'right')
(1079, 'car', 'right')
(1080, 'truck', 'right')
(1081, 'car', 'right')
(1082, 'truck', 'right')
(1083, 'car', 'right')
(1084, 'truck', 'right')
(1085, 'car', 'left')
(1086, 'car', 'right')
(1087, 'car', 'right')
(1088, 'car', 'right')
(1089, 'car', 'right')
(1090, 'car', 'right')
(1091, 'car', 'right')
(1092, 'car', 'right')
(1093, 'car', 'right')
(1094, 'truck', 'right')
(1095, 'car', 'right')
(1096, 'car', 'right')
(1097, 'car', 'right')
(1098, 'truck', 'right')
(1099, 'truck', 'right')
(1100, 'car', 'right')
(1101, 'car', 'left')
(1102, 'car', 'right')
(1103, 'car', 'right')
(1104, 'car', 'right')
(1105, 'car', 'right')
(1106, 'car', 'right')
(1107, 'car', 'right')
(1108, 'car', 'right')
(1109, 'car', 'right')
(1110, 'car', 'right')
(1111, 'truck', 'right')
(1112, 'car', 'right')
(1113, 'car', 'right')
(1114, 'truck', 'right')
(1115, 'truck', 'right')
(1116, 'car', 'right')
(1117, 'truck', 'right')
(1118, 'car', 'left')
(1119, 'car', 'right')
(1120, 'car', 'right')
(1121, 'car', 'right')
(1122, 'car', 'right')
(1123, 'car', 'right')
(1124, 'car', 'right')
(1125, 'car', 'right')
(1126, 'car', 'right')
(1127, 'car', 'right')
(1128, 'truck', 'right')
(1129, 'car', 'right')
(1130, 'truck', 'right')
(1131, 'truck', 'right')
(1132, 'car', 'left')
(1133, 'car', 'right')
(1134, 'car', 'right')
(1135, 'car', 'right')
(1136, 'car', 'right')
(1137, 'car', 'right')
(1138, 'bus', 'right')
(1139, 'car', 'right')
(1140, 'car', 'right')
(1141, 'truck', 'right')
(1142, 'car', 'right')
(1143, 'car', 'right')
(1144, 'car', 'right')
(1145, 'car', 'right')
(1146, 'car', 'left')
(1147, 'bus', 'right')
(1148, 'car', 'right')
(1149, 'car', 'right')
(1150, 'car', 'right')
(1151, 'car', 'right')
(1152, 'car', 'right')
(1153, 'car', 'right')
(1154, 'car', 'right')
(1155, 'car', 'right')
(1156, 'car', 'left')
(1157, 'car', 'right')
